day,t2m_C
2023-11-20,12.977997
2023-11-21,10.747559
2023-11-22,11.242706
2023-11-23,9.83493
2023-11-24,10.1285095
2023-11-25,9.867645
2023-11-26,9.449585
2023-11-27,9.814636
2023-11-28,10.961182
2023-11-29,12.794617
2023-11-30,13.533386
2023-12-01,8.659912
2023-12-02,7.3968506
2023-12-03,4.602417
2023-12-04,8.151642
2023-12-05,5.545746
2023-12-06,5.9225464
2023-12-07,6.179016
2023-12-08,9.766602
2023-12-09,9.506348
2023-12-10,10.836365
2023-12-11,10.93927
2023-12-12,9.531708
2023-12-13,10.487671
2023-12-14,7.6274414
2023-12-15,8.967468
2023-12-16,6.7072144
2023-12-17,6.4054565
2023-12-18,6.5238647
2023-12-19,6.030548
2023-12-20,7.492157
2023-12-21,7.431183
2023-12-22,8.566864
2023-12-23,7.32605
2023-12-24,5.134094
2023-12-25,4.5624084
2023-12-26,3.5082397
2023-12-27,4.366638
2023-12-28,4.481018
2023-12-29,5.7015686
2023-12-30,6.470154
2023-12-31,8.225464
