day,t2m_C
2023-12-17,9.396027
2023-12-18,10.412537
2023-12-19,10.310822
2023-12-20,8.386841
2023-12-21,12.287781
2023-12-22,11.18161
2023-12-23,10.340881
2023-12-24,13.071106
2023-12-25,11.905334
2023-12-26,7.4105835
2023-12-27,10.91806
2023-12-28,11.227936
2023-12-29,9.357819
2023-12-30,9.499756
2023-12-31,7.8579407
